Time,Magnitude,Type,Latitude,Longitude,Depth,Region
2022-07-09T11:47:28,3.6,Mw,48.40,8.84,11.1,Germany
2022-02-19T19:49:05,3.2,ML,48.39,9.01,10.0,Germany
2022-02-16T02:54:06,2.5,M,48.36,9.03,4.8,Germany
2021-09-13T10:36:30,3.4,M,48.35,9.04,3.7,Germany
2021-06-26T03:00:25,3.6,Mw,48.62,7.78,10.0,France
2021-03-21T17:37:02,3.6,ML,48.38,9.01,5.0,Germany
2021-01-22T18:33:44,3.6,ML,48.60,7.71,10.0,France
2020-12-04T05:59:02,3.5,M,48.64,7.76,6.3,France
2020-11-30T23:25:45,3.8,MLv,48.37,9.01,7.7,Germany
2020-04-06T06:50:36,2.6,ML,49.75,8.51,7.5,Germany
2019-11-12T13:38:13,3.2,M,48.58,7.83,4.2,France
2018-10-18T12:14:20,2.4,ML,50.77,9.94,3.3,Germany
2018-07-18T03:40:50,2.5,MLv,50.40,7.40,5.0,Germany
2018-01-22T07:20:36,2.6,MLv,50.15,7.85,10.0,Germany
2017-11-08T16:40:39,3.0,MLv,50.89,6.89,7.9,Germany
2017-10-20T11:19:41,2.5,M,50.26,9.19,3.5,Germany
2017-09-28T03:39:36,2.9,MLv,49.87,8.60,7.9,Germany
2017-08-23T18:24:16,2.3,M,50.18,9.71,2.0,Germany
2017-08-23T16:20:58,2.5,M,50.23,9.77,2.0,Germany
2017-05-09T16:18:39,2.7,MLv,48.57,8.70,8.8,Germany
2017-03-14T05:29:06,2.7,MLv,50.34,7.40,9.0,Germany
2016-12-22T05:32:17,2.9,M,50.20,7.68,9.3,Germany
2016-10-14T16:08:48,2.9,MLv,49.91,8.59,9.3,Germany
2015-06-10T12:11:32,2.4,MLv,50.77,9.99,2.7,Germany
2015-04-06T02:01:07,2.4,M,49.83,8.63,9.8,Germany
2015-03-22T23:54:32,2.4,M,49.85,8.66,5.0,Germany
2014-10-29T17:23:54,3.2,Mw,49.84,8.61,5.0,Germany
2014-09-19T11:11:47,2.6,M,50.03,8.62,10.0,Germany
2014-09-15T13:14:35,2.8,MLv,49.37,6.78,5.0,Germany
2014-09-11T08:00:15,3.0,M,50.68,9.15,2.0,Germany
2014-09-04T10:17:59,2.3,M,49.66,7.95,2.0,Germany
2014-06-08T14:15:57,3.3,M,49.78,8.60,10.0,Germany
2014-05-17T16:46:26,3.6,Mw,49.85,8.66,6.6,Germany
2014-05-15T15:40:48,2.4,M,50.36,9.19,5.0,Germany
2014-03-30T15:57:58,3.3,MLv,49.81,8.68,1.6,Germany
2013-11-30T18:09:58,2.7,MLv,50.39,7.31,7.3,Germany
2013-08-23T11:08:16,2.3,M,50.36,9.19,1.0,Germany
2013-08-22T02:28:02,2.5,M,50.39,8.75,2.0,Germany
2013-02-26T09:21:42,2.8,M,49.72,7.23,10.0,Germany
2012-12-12T12:30:16,2.2,M,49.83,9.64,1.0,Germany
2012-11-28T12:30:11,2.4,M,49.79,9.64,1.0,Germany
2012-11-22T15:43:15,3.0,MLv,50.29,7.42,2.8,Germany
2012-11-15T12:30:25,2.4,M,49.83,9.66,10.0,Germany
2012-07-10T14:01:51,2.3,M,48.73,9.94,4.4,Germany
2012-05-10T11:31:08,2.3,M,49.89,9.65,2.0,Germany
2012-05-02T12:14:51,2.5,M,50.79,9.99,1.0,Germany
2012-03-26T12:18:52,2.3,M,48.74,9.98,10.0,Germany
2012-03-12T19:00:41,2.7,M,50.34,7.45,2.6,Germany
2012-02-21T02:34:56,2.5,M,50.38,7.39,4.2,Germany
2012-01-19T13:17:11,2.8,M,50.41,9.66,1.0,Germany
